granularity,layer,head,delta_restore
resid_pre (whole layer),22,,-0.625
attn (all heads),22,,-0.0625
mlp,22,,-0.0625
attn_head,22,0.0,-0.125
attn_head,22,1.0,-0.125
attn_head,22,2.0,-0.0625
attn_head,22,3.0,0.0
attn_head,22,4.0,0.0625
attn_head,22,5.0,0.0625
attn_head,22,6.0,-0.0625
attn_head,22,7.0,-0.0625
attn_head,22,8.0,0.0625
attn_head,22,9.0,-0.125
attn_head,22,10.0,0.0
attn_head,22,11.0,0.0
attn_head,22,12.0,0.0
attn_head,22,13.0,0.0
attn_head,22,14.0,-0.125
attn_head,22,15.0,0.0
attn_head,22,16.0,-0.0625
attn_head,22,17.0,0.0
attn_head,22,18.0,-0.0625
attn_head,22,19.0,-0.1875
attn_head,22,20.0,-0.125
attn_head,22,21.0,-0.125
attn_head,22,22.0,0.0
attn_head,22,23.0,0.0
attn_head,22,24.0,-0.1875
attn_head,22,25.0,0.0
attn_head,22,26.0,0.0
attn_head,22,27.0,0.0
attn_head,22,28.0,-0.0625
attn_head,22,29.0,0.0
attn_head,22,30.0,-0.0625
attn_head,22,31.0,0.0625
