sample_idx,bleu1,rouge_l,meteor,summac
0,0.4369,0.299,0.3381,-0.5
1,0.4426,0.3133,0.3238,-0.6315
2,0.5436,0.3411,0.4192,0.0908
3,0.4105,0.2494,0.3084,0.1447
4,0.4715,0.3498,0.3599,0.1576
5,0.325,0.3114,0.2747,-0.0456
6,0.4209,0.3088,0.3179,-0.0019
7,0.4244,0.2958,0.3251,-0.4248
8,0.4091,0.3135,0.3294,0.1814
9,0.3105,0.3082,0.2675,0.0264
10,0.465,0.3434,0.3018,0.171
11,0.4821,0.357,0.3505,0.1332
12,0.4223,0.2664,0.3083,0.088
13,0.3663,0.2924,0.3198,0.1949
14,0.4861,0.3771,0.4013,0.1874
15,0.4556,0.2565,0.3095,0.0532
16,0.4399,0.4056,0.3376,-0.0825
17,0.1985,0.2651,0.1876,0.1774
18,0.4805,0.3309,0.3541,0.101
19,0.4111,0.2383,0.2635,-0.0658
20,0.4064,0.368,0.2963,0.1617
21,0.5307,0.2787,0.3628,0.0676
22,0.4897,0.3364,0.3652,0.0983
23,0.4052,0.2812,0.2715,0.0427
24,0.4567,0.346,0.3596,0.1708
25,0.3399,0.3103,0.2718,0.0815
26,0.2853,0.2985,0.2486,-0.0631
27,0.4369,0.2693,0.3035,0.139
28,0.4309,0.34,0.3354,-0.0167
29,0.4105,0.2389,0.2949,-0.0479
30,0.4622,0.3348,0.3785,0.1458
31,0.4224,0.3611,0.3151,0.1233
32,0.5424,0.3657,0.3791,0.1437
33,0.3663,0.2521,0.25,0.0779
34,0.3982,0.3437,0.3059,-0.1242
35,0.4706,0.3343,0.3785,0.2241
36,0.4214,0.2942,0.3101,-0.4823
37,0.422,0.3038,0.3059,0.2206
38,0.4264,0.3175,0.3602,-0.3852
39,0.3157,0.2762,0.233,0.2155
40,0.4861,0.297,0.3657,-0.6448
41,0.4378,0.3665,0.3284,0.2548
42,0.5399,0.3213,0.4183,0.2012
43,0.4049,0.3077,0.2905,0.0106
