feature,coef
ecs_L26,-6.289212740703163
ecs_L9,5.1565788182006305
ecs_L7,5.070595045671086
ecscopy_L17,4.667727782505345
ecscopy_L9,-4.305552868146409
ecs_L30,4.219969211353898
ecs_L16,4.10673512977604
ecs_L4,-4.082998886180208
ecscopy_L28,3.8996209729759297
ecs_L27,-3.8299927220925576
ecs_L25,3.6474902495599557
ecs_L28,-3.2628391243636328
ecs_L17,-2.9800146090975868
ecs_L1,2.7054225580439466
ecscopy_L4,2.6616926161753627
ecs_L6,-2.5513453373077817
ecscopy_L22,-2.4777696901190387
ecs_L5,2.4104563745297645
ecscopy_L19,2.4077496201895365
ecs_L14,-2.339392121671992
ecscopy_L15,-2.2882735539795296
ecs_L20,2.2286388590210358
ecscopy_L6,2.1614088465099464
ecs_L0,-2.0467588944249533
ecs_L19,-1.9038128999660837
ecscopy_L5,-1.7038222237621383
ecscopy_L16,-1.690819676439317
ecs_L8,-1.6855611443729401
ecs_L22,-1.4708724188416096
ecs_L10,-1.4627419937132913
ecs_L2,1.4097758818371928
ecscopy_L31,-1.3504326196879812
ecs_L29,-1.3114952530028336
ecs_L18,-1.2942898263462903
ecs_L15,1.268656434989851
ecs_L11,1.2669611829695642
ecscopy_L30,1.092728568278497
ecs_L24,-1.0633034980552618
ecs_L13,1.0291882334005968
ecs_L23,-1.0079967069421367
ecscopy_L23,0.9611027988075651
ecs_L12,-0.8401939724100987
ecscopy_L26,0.7958844692136416
ecs_L31,0.7903905093556913
ecscopy_L11,0.761147450829432
ecscopy_L29,0.6987879250884041
ecscopy_L18,-0.5834086954627409
ecscopy_L14,0.532395822025748
ecscopy_L13,-0.5216582382004197
ecscopy_L21,0.49637284240467516
ecscopy_L8,-0.48816063037903823
ecs_L3,-0.43997488618106373
ecscopy_L7,-0.4291941909591998
ecscopy_L3,0.4240681091736713
ecscopy_L25,-0.3362889354000734
ecscopy_L10,-0.31798055764522476
ecscopy_L20,-0.2931036418320298
pks_L8,-0.2316453118764239
pks_L10,0.19915419249227567
ecscopy_L24,0.18585104682017717
pks_L31,0.1657566794502185
pks_L7,0.16125200241317045
pks_L12,0.13846592317002843
pks_L5,-0.1320703872293111
pks_L19,0.10972201394733609
ecscopy_L27,-0.10792716059485508
pks_L15,0.09835352675208382
pks_L14,-0.09152984515034425
pks_L18,0.07918152089650433
pks_L4,-0.07782714285230247
pks_L1,0.07277344377880261
pks_L24,-0.07153788399272305
pks_L2,-0.06898911408981996
pks_L3,0.0662060062111171
pks_L9,0.06518433369288677
pks_L23,0.059315018934797126
ecscopy_L12,0.058742254822954726
pks_L28,0.049508991084024095
pks_L17,0.04868789445269
pks_L22,0.046932725709308926
pks_L30,0.046070515443186855
pks_L16,0.04218163459381848
pks_L13,0.037730414411797
pks_L21,0.03464915430319654
pks_L20,0.03350884217484282
pks_L27,-0.030918773929096425
pks_L6,0.028283956645148798
pks_L29,-0.026145055577402092
pks_L0,0.023343725985198974
pks_L25,0.023075330222219765
pks_L11,0.010566178045313561
ecs_L21,-0.005733854594723122
pks_L26,-0.0008744839054421414
