layer,pks_auroc,pks_cohens_d
0,0.4514096185737977,-0.15232359472847518
1,0.45605306799336653,-0.12697655888389947
2,0.4490878938640133,-0.17938090432868123
3,0.4859038142620232,-0.041425519820385635
4,0.5160862354892205,-0.0016284955165467257
5,0.4779436152570481,-0.048089958921640884
6,0.5343283582089553,0.08971655352048821
7,0.4805970149253731,-0.04042616127840999
8,0.6271973466003318,0.37043183130163404
9,0.6252072968490878,0.33435658004826424
10,0.5555555555555556,0.2780979559068922
11,0.4955223880597015,0.1135033280295978
12,0.5061359867330016,0.0993482424988564
13,0.547927031509121,0.19274837736907563
14,0.569485903814262,0.2967409797024214
15,0.6590381426202322,0.4985847226891492
16,0.5412935323383085,0.12113327196543305
17,0.555223880597015,0.23429760968087437
18,0.55787728026534,0.20076902234206756
19,0.5412935323383085,0.06361209361289952
20,0.5094527363184079,-0.038891076415313176
21,0.6378109452736318,0.4246060652844296
22,0.573134328358209,0.2104940718141662
23,0.48822553897180765,-0.11823352182120667
24,0.5562189054726367,0.2263610761305426
25,0.48855721393034823,-0.04895491616980443
26,0.47429519071310117,-0.06441096410964656
27,0.5187396351575456,0.08397689399063778
28,0.4222222222222222,-0.2542646966808232
29,0.6063018242122719,0.37721188075882267
30,0.5665008291873964,0.27890357739660954
31,0.5718076285240464,0.2568769721985695
