layer,ecs_auroc,ecs_copy_auroc,pks_auroc,ecs_cohens_d,ecs_copy_cohens_d,pks_cohens_d
0,0.5718835831664075,,0.5905896933638688,0.25801113471017173,,0.5747007614868902
1,0.5945036824846709,,0.598964714430003,0.35417943169092597,,0.4364919047237986
2,0.584061885267648,,0.5844238434795987,0.30794568660829463,,0.4497424705195091
3,0.5745798986507297,0.570805140721372,0.5812958520303808,0.26391903788845117,0.24534873579949665,0.44876551571370127
4,0.5937331317943277,0.5834851925735461,0.5755743840420142,0.35034508938889936,0.30305111353058234,0.453504973885626
5,0.6023034774702967,0.5799388096442164,0.5867106278528289,0.38477004438594525,0.2900593288931523,0.4858862866499569
6,0.5974983617926162,0.6097367343637295,0.6019232826769043,0.36608143537401444,0.42698354621929085,0.551044336348289
7,0.6121560722849942,0.6093567620910204,0.6357743933191038,0.43067242185406496,0.4225262240156519,0.5951566376804951
8,0.5999741026383124,0.6015856217006378,0.6185483349414499,0.37956308297186986,0.3900685783964407,0.6053329822693053
9,0.6066299713876837,0.6047718427668044,0.6417715887088717,0.4136319436416213,0.40672639491812873,0.6440902782103696
10,0.602367834497693,0.6043058723188053,0.6560625911841714,0.39739350487145125,0.4046009115389906,0.6668932177576209
11,0.60606675940115,0.6170881926540379,0.6392375069858851,0.41197499405652943,0.464097162318523,0.6369553298460134
12,0.6026728334835044,0.6038797168897669,0.6333323481735815,0.39496775593071326,0.40037751533710736,0.6508427001325763
13,0.5972758937052682,0.6033984491562592,0.6287181795170237,0.37571118559362143,0.40782270170361606,0.6328096320347232
14,0.5914414742181366,0.591320742587123,0.620206194947498,0.3474630573943139,0.3442456743854281,0.6242361989610477
15,0.5999570555310682,0.5974955337570249,0.6501990882437528,0.39454079239184026,0.38546296315931866,0.652266550484236
16,0.6010210381775297,0.5916913346015799,0.6482623106988733,0.3950563153866037,0.35260920601840284,0.6041702885340099
17,0.6085448063702897,0.5987387608595909,0.6263097794987932,0.43508179698143173,0.3870631962842884,0.6574928666193844
18,0.5991779560006617,0.561168265548577,0.6292583767961742,0.38607876220336496,0.22818540906379225,0.5359431421509235
19,0.6082756554665332,0.6054328424790043,0.6145947189328103,0.4335309062067185,0.42342586127491755,0.5952026437942781
20,0.6037670283699913,0.6050017956407672,0.5863048391350443,0.40415714291699195,0.4153344866621393,0.4157194547913581
21,0.6012365069779351,0.5983163538926058,0.5745324349890146,0.39236558834119833,0.37721126245511327,0.2750229111529337
22,0.5985981358795041,0.5887211790958325,0.5753602341823852,0.3808700477661592,0.3420411754340689,0.25101170120053956
23,0.5987476313431872,0.6053331936712609,0.5712521119488609,0.38130434699355825,0.415592415720786,0.39800110398316846
24,0.6015453515257343,0.5959001090088368,0.5559801432252355,0.39577703289369337,0.3773615258103426,0.14742370221755785
25,0.6079929105719516,0.5953463399909297,0.586970517850336,0.4309183024527337,0.36881248412395723,0.32731725146158946
26,0.6117322573689595,0.6135903232794645,0.588944858909446,0.44299988785814326,0.4431627619349873,0.2939220872797046
27,0.6036587538514032,0.6107838843319687,0.5667662992910875,0.40652886253397413,0.41645560168123447,0.09944568506051711
28,0.6053226664200329,0.6083461479960384,0.5819388032922623,0.4033117739908963,0.41327567206395954,0.2413514340314793
29,0.6155779811900031,0.6101700428212734,0.589121542354779,0.46349354569284,0.43227207306347376,0.4804621009027721
30,0.6155152991364761,0.6105336213883806,0.6082304210574802,0.4514902213964944,0.41674150462055665,0.5432982850155315
31,0.6041442150883305,0.6039502357171711,0.6334265189266889,0.40001845813844583,0.4003257966218549,0.7808984529145883
